t,alt,asp,gsp,roll,pitch,yaw,p,q,r,navroll,navpitch,ail,elev,rud,thr,armed,mode
53.836,55.491,13.327298164367676,14.199712753295898,-34.144204453352955,12.548298892195074,91.54400774749458,-0.16991595000372947,5.824733243994452,-10.328253477961857,-42.18000030517578,7.509999752044678,1803,1296,1651,89,True,13
53.888,55.576,13.327298164367676,14.212450981140137,-34.31679991858459,12.48908200586471,90.81638769521311,-0.3038266378390161,5.828870204197365,-10.35501586667726,-43.05999755859375,7.369999885559082,1807,1296,1653,88,True,13
53.939,55.632,13.312240600585938,14.219930648803711,-34.4359901346959,12.447609097224392,90.33080222636022,-0.3887409903436426,5.828039055552739,-10.374559599213605,-43.04999923706055,7.369999885559082,1808,1296,1654,88,True,13
53.990,55.716,13.312240600585938,14.228690147399902,-34.62038816681331,12.382060625533425,89.6014882871646,-0.5040371181739702,5.806681054018109,-10.415496338004075,-43.89999771118164,7.179999828338623,1812,1297,1656,87,True,13
54.041,55.77,13.332633018493652,14.233773231506348,-34.74631977963543,12.335700716541965,89.11489195031456,-0.580987416745509,5.798502329373842,-10.437828495269079,-43.88999938964844,7.179999828338623,1813,1297,1656,87,True,13
54.092,55.852,13.332633018493652,14.252017974853516,-34.94357905795998,12.262875532063996,88.37288751964105,-0.7038032893673297,5.836535383993412,-10.478292243459526,-44.72999954223633,7.069999694824219,1817,1297,1658,90,True,13
54.144,55.906,13.34130573272705,14.26901626586914,-35.07817818083883,12.214400825750769,87.88277363536844,-0.8001904920477265,5.8814438777862454,-10.511276080735165,-44.71999740600586,7.069999694824219,1818,1297,1659,90,True,13
54.197,55.984,13.34130573272705,14.298081398010254,-35.28804598837123,12.140358160053246,87.14471022384603,-0.93939775146052,5.9742418160578,-10.554139786645225,-45.56999969482422,7.539999961853027,1822,1294,1661,90,True,13
54.247,56.037,13.408063888549805,14.318390846252441,-35.43416081019073,12.090239085697338,86.65106513177254,-1.030929116527861,6.03937962262492,-10.580360882868904,-45.55999755859375,7.539999961853027,1823,1294,1661,90,True,13
54.299,56.115,13.408063888549805,14.348773956298828,-35.65972097734123,12.014553759504427,85.90745560664408,-1.1618778234604628,6.114629524258243,-10.617239635518741,-46.40999984741211,7.799999713897705,1827,1292,1663,90,True,13
